Arco,Distancias
"1,2",1419.5
"1,3",12102
"1,4",5217
"1,5",12102
"1,6",6262.2
"1,7",5586.7
"1,8",2231.2
"1,9",10611
"1,10",6488.6
"1,11",7467
"1,12",6470
"1,13",7743
"1,14",5997.8
"1,15",6075
"1,16",5290
"1,17",6312
"1,18",8043
"1,19",12892
"1,20",13769
"1,21",11916
"1,22",818.7
"2,1",1419.5
"2,3",12792
"2,4",5010.9
"2,5",11623
"2,6",6056
"2,7",5380.6
"2,8",3110.5
"2,9",10789
"2,10",6282.5
"2,11",4716.4
"2,12",5565.8
"2,13",4447.5
"2,14",5791.7
"2,15",5868.9
"2,16",5084.1
"2,17",7331
"2,18",9291
"2,19",12639
"2,20",13502
"2,21",10688
"2,22",1837.5
"3,1",12102
"3,2",12792
"3,4",16075
"3,5",15579
"3,6",16827
"3,7",16410
"3,8",12979
"3,9",14508
"3,10",16934
"3,11",15806
"3,12",16538
"3,13",15549
"3,14",16603
"3,15",16560
"3,16",16276
"3,17",6059
"3,18",8121
"3,19",14275
"3,20",13502
"3,21",13956
"3,22",11683
"4,1",5217
"4,2",5010.9
"4,3",16075
"4,5",8178
"4,6",9612
"4,7",498
"4,8",4085.9
"4,9",6370
"4,10",1634
"4,11",564.2
"4,12",683.1
"4,13",877.7
"4,14",1133.6
"4,15",1354.7
"4,16",264.9
"4,17",10064
"4,18",9590
"4,19",9064
"4,20",9930
"4,21",9134
"4,22",5867.6
"5,1",12102
"5,2",11623
"5,3",15579
"5,4",8178
"5,6",7543
"5,7",7877
"5,8",11022
"5,9",3975
"5,10",7051
"5,11",8259
"5,12",7767
"5,13",8571
"5,14",7460
"5,15",7417
"5,16",7952
"5,17",16959
"5,18",12232
"5,19",2170
"5,20",3403.7
"5,21",5395
"5,22",12590
"6,1",6262.2
"6,2",6056
"6,3",16827
"6,4",9612
"6,5",7543
"6,7",684
"6,8",5129.6
"6,9",7268
"6,10",8376
"6,11",1192.5
"6,12",552
"6,13",1921
"6,14",1056
"6,15",1234.5
"6,16",1007
"6,17",10887
"6,18",10985
"6,19",8600
"6,20",9438
"6,21",8161
"6,22",5175
"7,1",5586.7
"7,2",5380.6
"7,3",16410
"7,4",498
"7,5",7877
"7,6",684
"7,8",4453.8
"7,9",7299
"7,10",1540
"7,11",692
"7,12",193.3
"7,13",1245.6
"7,14",1153
"7,15",1436.5
"7,16",328.2
"7,17",10410
"7,18",9867
"7,19",8815
"7,20",9676
"7,21",8804
"7,22",6235.5
"8,1",2231.2
"8,2",3110.5
"8,3",12979
"8,4",4085.9
"8,5",11022
"8,6",5129.6
"8,7",4453.8
"8,9",9043
"8,10",4758.9
"8,11",3793
"8,12",4639.9
"8,13",3545
"8,14",4315.2
"8,15",4226.9
"8,16",4164.9
"8,17",6935
"8,18",7335
"8,19",11470
"8,20",12335
"8,21",12010
"8,22",2836.7
"9,1",10611
"9,2",10789
"9,3",14508
"9,4",6370
"9,5",3975
"9,6",7268
"9,7",7299
"9,8",9043
"9,10",6181
"9,11",7287
"9,12",7274
"9,13",7422
"9,14",6558
"9,15",6397
"9,16",7210
"9,17",13060
"9,18",8282
"9,19",2952
"9,20",4122
"9,21",10474
"9,22",10864
"10,1",6488.6
"10,2",6282.5
"10,3",16934
"10,4",1634
"10,5",7051
"10,6",8376
"10,7",1540
"10,8",4758.9
"10,9",6181
"10,11",1565.9
"10,12",1408.8
"10,13",1842.6
"10,14",530.3
"10,15",495
"10,16",1375.7
"10,17",10855
"10,18",9498
"10,19",7822
"10,20",8694
"10,21",9500
"10,22",7094
"11,1",7467
"11,2",4716.4
"11,3",15806
"11,4",564.2
"11,5",8259
"11,6",1192.5
"11,7",692
"11,8",3793
"11,9",7287
"11,10",1565.9
"11,12",1119.7
"11,13",398.5
"11,14",1075
"11,15",1145.9
"11,16",638.1
"11,17",9817
"11,18",9196
"11,19",9075
"11,20",10101
"11,21",9973
"11,22",5574.8
"12,1",6470
"12,2",5565.8
"12,3",16538
"12,4",683.1
"12,5",7767
"12,6",552
"12,7",193.3
"12,8",4639.9
"12,9",7274
"12,10",1408.8
"12,11",1119.7
"12,13",1431.8
"12,14",1021.7
"12,15",1299.3
"12,16",514.4
"12,17",10548
"12,18",9997
"12,19",8733
"12,20",9677
"12,21",8659
"12,22",6421.7
"13,1",7743
"13,2",4447.5
"13,3",15549
"13,4",877.7
"13,5",8571
"13,6",1921
"13,7",1245.6
"13,8",3545
"13,9",7422
"13,10",1842.6
"13,11",398.5
"13,12",1431.8
"13,14",1351.8
"13,15",1429
"13,16",951.7
"13,17",9499
"13,18",8944
"13,19",9308
"13,20",10355
"13,21",9796
"13,22",5306.7
"14,1",5997.8
"14,2",5791.7
"14,3",16603
"14,4",1133.6
"14,5",7460
"14,6",1056
"14,7",1153
"14,8",4315.2
"14,9",6558
"14,10",530.3
"14,11",1075
"14,12",1021.7
"14,13",1351.8
"14,15",265
"14,16",876.8
"14,17",10544
"14,18",9418
"14,19",8242
"14,20",9263
"14,21",9033
"14,22",6649.7
"15,1",6075
"15,2",5868.9
"15,3",16560
"15,4",1354.7
"15,5",7417
"15,6",1234.5
"15,7",1436.5
"15,8",4226.9
"15,9",6397
"15,10",495
"15,11",1145.9
"15,12",1299.3
"15,13",1429
"15,14",265
"15,16",8696
"15,17",10510
"15,18",9252
"15,19",8147
"15,20",9188
"15,21",9157
"15,22",6726.8
"16,1",5290
"16,2",5084.1
"16,3",16276
"16,4",264.9
"16,5",7952
"16,6",1007
"16,7",328.2
"16,8",4164.9
"16,9",7210
"16,10",1375.7
"16,11",638.1
"16,12",514.4
"16,13",951.7
"16,14",876.8
"16,15",8696
"16,17",10247
"16,18",10990
"16,19",8829
"16,20",9815
"16,21",9035
"16,22",5946.7
"17,1",6312
"17,2",7331
"17,3",6059
"17,4",10064
"17,5",16959
"17,6",10887
"17,7",10410
"17,8",6935
"17,9",13060
"17,10",10855
"17,11",9817
"17,12",10548
"17,13",9499
"17,14",10544
"17,15",10510
"17,16",10247
"17,18",5036
"17,19",15812
"17,20",16596
"17,21",16978
"17,22",5892
"18,1",8043
"18,2",9291
"18,3",8121
"18,4",9590
"18,5",12232
"18,6",10985
"18,7",9867
"18,8",7335
"18,9",8282
"18,10",9498
"18,11",9196
"18,12",9997
"18,13",8944
"18,14",9418
"18,15",9252
"18,16",10990
"18,17",5036
"18,19",10799
"18,20",11580
"18,21",17555
"18,22",7806
"19,1",12892
"19,2",12639
"19,3",14275
"19,4",9064
"19,5",2170
"19,6",8600
"19,7",8815
"19,8",11470
"19,9",2952
"19,10",7822
"19,11",9075
"19,12",8733
"19,13",9308
"19,14",8242
"19,15",8147
"19,16",8829
"19,17",15812
"19,18",10799
"19,20",1499
"19,21",6961
"19,22",13235
"20,1",13769
"20,2",13502
"20,3",13502
"20,4",9930
"20,5",3403.7
"20,6",9438
"20,7",9676
"20,8",12335
"20,9",4122
"20,10",8694
"20,11",10101
"20,12",9677
"20,13",10355
"20,14",9263
"20,15",9188
"20,16",9815
"20,17",16596
"20,18",11580
"20,19",1499
"20,21",6376
"20,22",14346
"21,1",11916
"21,2",10688
"21,3",13956
"21,4",9134
"21,5",5395
"21,6",8161
"21,7",8804
"21,8",12010
"21,9",10474
"21,10",9500
"21,11",9973
"21,12",8659
"21,13",9796
"21,14",9033
"21,15",9157
"21,16",9035
"21,17",16978
"21,18",17555
"21,19",6961
"21,20",6376
"21,22",12274
"22,1",818.7
"22,2",1837.5
"22,3",11683
"22,4",5867.6
"22,5",12590
"22,6",5175
"22,7",6235.5
"22,8",2836.7
"22,9",10864
"22,10",7094
"22,11",5574.8
"22,12",6421.7
"22,13",5306.7
"22,14",6649.7
"22,15",6726.8
"22,16",5946.7
"22,17",5892
"22,18",7806
"22,19",13235
"22,20",14346
"22,21",12274
